Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSDARG00000078703	unm_hu7910	un-named hu7910 [Source:ZFIN;Acc:ZDB-GENE-120727-22]	7	58188174	58251527	-1
ENSDARG00000111141	mtfr1l	mitochondrial fission regulator 1-like [Source:ZFIN;Acc:ZDB-GENE-030131-6228]	CHR_ALT_CTG17_1_18	24724813	24731425	1
ENSDARG00000116059	CT998556.1		9	54282494	54344405	-1
ENSDARG00000114457	prpf4	PRP4 pre-mRNA processing factor 4 homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-5143]	CHR_ALT_CTG5_2_14	57420026	57431028	1
ENSDARG00000101969	QRFPR	pyroglutamylated RFamide peptide receptor [Source:HGNC Symbol;Acc:HGNC:15565]	12	47871878	47899497	-1
ENSDARG00000115266	imp3	IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-1062]	2	9983079	9989947	-1
ENSDARG00000069895	CR392036.1	GTPase IMAP family member 8-like [Source:NCBI gene;Acc:101884429]	21	14511685	14513374	1
ENSDARG00000110575	pde4ba	phosphodiesterase 4B, cAMP-specific a [Source:ZFIN;Acc:ZDB-GENE-030131-9570]	CHR_ALT_CTG6_1_28	30853868	30932078	-1
ENSDARG00000113557	fam167b	family with sequence similarity 167, member B [Source:ZFIN;Acc:ZDB-GENE-131121-390]	CHR_ALT_CTG17_1_19	25392223	25396939	-1
ENSDARG00000101693	CABZ01028771.1	serine/threonine-protein kinase 19 [Source:NCBI gene;Acc:100537610]	KN150449.1	38186	54173	-1
ENSDARG00000115337	mfap3l	microfibril associated protein 3 like [Source:ZFIN;Acc:ZDB-GENE-111229-2]	CHR_ALT_CTG7_1_2	7650430	7659375	-1
ENSDARG00000109723	rab1bb	RAB1B, member RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-040625-133]	CHR_ALT_CTG10_1_25	26900133	26905805	1
ENSDARG00000110545	CABZ01113373.1		18	50852359	50862939	-1
ENSDARG00000115927	mrps22	mitochondrial ribosomal protein S22 [Source:ZFIN;Acc:ZDB-GENE-070615-31]	CHR_ALT_CTG15_1_2	6948054	6971906	-1
ENSDARG00000112865	atp2b3a	ATPase plasma membrane Ca2+ transporting 3a [Source:ZFIN;Acc:ZDB-GENE-040718-174]	CHR_ALT_CTG23_1_16	19864699	19943551	-1
ENSDARG00000028082	mapkapk5	mitogen-activated protein kinase-activated protein kinase 5 [Source:ZFIN;Acc:ZDB-GENE-040718-25]	5	69553686	69571572	-1
ENSDARG00000037195	tshr	thyroid stimulating hormone receptor [Source:ZFIN;Acc:ZDB-GENE-110524-4]	20	6035427	6079923	1
ENSDARG00000113453	hnrnpd	heterogeneous nuclear ribonucleoprotein D [Source:ZFIN;Acc:ZDB-GENE-070424-97]	CHR_ALT_CTG10_1_1	5007888	5022648	-1
ENSDARG00000109527	BX000363.2		17	6275206	6296111	-1
ENSDARG00000111896	krt15	keratin 15 [Source:ZFIN;Acc:ZDB-GENE-040426-2931]	CHR_ALT_CTG11_1_3	11515864	11518393	-1
ENSDARG00000080109	RF00001		7	13452269	13452389	-1
ENSDARG00000104602	RF00001		11	38803611	38803738	1
ENSDARG00000104448	zgc:77287	zgc:77287 [Source:ZFIN;Acc:ZDB-GENE-040426-2337]	17	132555	139594	1
ENSDARG00000110936	RF00001		24	11614257	11614373	1
ENSDARG00000104420	RF00600		19	48033299	48033440	1
ENSDARG00000111898	morf4l1	mortality factor 4 like 1 [Source:ZFIN;Acc:ZDB-GENE-040718-348]	CHR_ALT_CTG18_1_21	20038073	20048667	1
ENSDARG00000116398	dnase1l1	deoxyribonuclease I-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2170]	CHR_ALT_CTG23_1_16	19703970	19711328	1
ENSDARG00000114644	RF00001		2	26085162	26085279	-1
ENSDARG00000113701	RF00001		12	23910832	23910949	1
ENSDARG00000081177	RF00001		21	24749662	24749779	1
ENSDARG00000113438	CR318624.2	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1-like [Source:NCBI gene;Acc:101886891]	24	9003998	9016244	1
ENSDARG00000110752	sgsm2	small G protein signaling modulator 2 [Source:ZFIN;Acc:ZDB-GENE-131119-52]	CHR_ALT_CTG15_1_15	20584010	20679345	1
ENSDARG00000115719	RF00003		4	37731429	37731577	-1
ENSDARG00000098473	RF00001		11	41465107	41465236	1
ENSDARG00000109518	BX088572.1	transforming growth factor, beta 2, like [Source:NCBI gene;Acc:559723]	CHR_ALT_CTG14_1_2	8767585	8789490	-1
ENSDARG00000110338	RF00001		4	52012366	52012480	1
ENSDARG00000070378	ccl35.2	chemokine (C-C motif) ligand 35, duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-140718-1]	25	25172983	25176139	1
ENSDARG00000115092	RF00001		20	5995589	5995703	-1
ENSDARG00000113097	LO018315.3	uncharacterized LOC110438920 [Source:NCBI gene;Acc:110438920]	CHR_ALT_CTG11_1_14	18175860	18177499	1
ENSDARG00000111412	RF00001		23	43530601	43530715	-1
ENSDARG00000109575	RF00001		6	44132968	44133082	1
ENSDARG00000113667	ppm1db	protein phosphatase, Mg2+/Mn2+ dependent, 1Db [Source:ZFIN;Acc:ZDB-GENE-041114-27]	CHR_ALT_CTG5_2_13	56901964	56911195	-1
ENSDARG00000081240	RF00001		4	8587787	8587908	-1
ENSDARG00000112996	RF00001		3	42866083	42866200	-1
ENSDARG00000100436	cnga2b	cyclic nucleotide gated channel alpha 2b [Source:ZFIN;Acc:ZDB-GENE-050307-2]	5	23035645	23043974	1
ENSDARG00000107059	RF00001		13	28179434	28179550	-1
ENSDARG00000112577	RF00003		4	41346037	41346182	-1
ENSDARG00000109258	BX005464.1	IQ motif and ubiquitin domain containing [Source:NCBI gene;Acc:100334576]	CHR_ALT_CTG25_2_3	27866572	27898754	1
ENSDARG00000113297	RF00001		KZ115964.1	6769	6901	-1
ENSDARG00000111868	CR847789.1	armadillo repeat containing 4 [Source:NCBI gene;Acc:799229]	CHR_ALT_CTG12_1_13	23034286	23135741	-1
ENSDARG00000112636	RF00001		7	56068166	56068280	-1
ENSDARG00000109765	RF00001		7	26028659	26028773	1
ENSDARG00000113840	RF00012		20	3333576	3333791	-1
ENSDARG00000023394	slc37a2	solute carrier family 37 (glucose-6-phosphate transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1949]	5	58455488	58483036	1
ENSDARG00000083638	RF00066		16	12253415	12253471	-1
ENSDARG00000008164	btr33	bloodthirsty-related gene family, member 33 [Source:ZFIN;Acc:ZDB-GENE-090512-4]	24	7708652	7714562	1
ENSDARG00000098429	RF00026		4	51400192	51400298	1
ENSDARG00000115728	specc1la	sperm antigen with calponin homology and coiled-coil domains 1-like a [Source:ZFIN;Acc:ZDB-GENE-060810-139]	CHR_ALT_CTG8_1_16	30623872	30657444	1
ENSDARG00000113665	RF00026		4	51400722	51400828	1
ENSDARG00000081431	RF00004		2	14724960	14725146	1
ENSDARG00000054898	ms4a17a.17	membrane-spanning 4-domains, subfamily A, member 17A.17 [Source:ZFIN;Acc:ZDB-GENE-070424-27]	4	76509294	76517613	1
ENSDARG00000106671	RF00001		20	49813144	49813254	-1
ENSDARG00000099937	CABZ01112864.1		2	2918759	2927264	1
ENSDARG00000109767	RF00017		11	12253860	12254156	-1
ENSDARG00000110142	CABZ01113818.1		25	222921	225964	-1
ENSDARG00000113787	npy4r	neuropeptide Y receptor Y4 [Source:ZFIN;Acc:ZDB-GENE-980526-393]	CHR_ALT_CTG17_1_10	20619541	20620674	1
ENSDARG00000080489	dre-mir-141	dre-mir-141 [Source:miRBase;Acc:MI0002004]	6	40656003	40656085	-1
ENSDARG00000080758	dre-mir-181a-2	dre-mir-181a-2 [Source:miRBase;Acc:MI0003387]	8	53023539	53023617	1
ENSDARG00000074676	rprd2b	regulation of nuclear pre-mRNA domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-110719-1]	16	1199202	1211162	1
ENSDARG00000013390	CABZ01088367.1		6	59029485	59048088	1
ENSDARG00000080599	dre-mir-24-3	dre-mir-24-3 [Source:miRBase;Acc:MI0001920]	8	30162492	30162633	-1
ENSDARG00000109277	pvalb7	parvalbumin 7 [Source:ZFIN;Acc:ZDB-GENE-040718-285]	CHR_ALT_CTG22_1_20	29176739	29190519	-1
ENSDARG00000104603	CR847514.1		3	49815197	49815287	-1
ENSDARG00000103352	dre-mir-1-2	dre-mir-1-2 [Source:miRBase;Acc:MI0001877]	2	4116314	4116400	-1
ENSDARG00000116684	BX470211.2		7	22678346	22699716	-1
ENSDARG00000103521	capsla	calcyphosine-like a [Source:ZFIN;Acc:ZDB-GENE-030131-7291]	2	53890006	53896300	-1
ENSDARG00000113931	AL845307.1	serine protease HTRA2, mitochondrial-like [Source:NCBI gene;Acc:110438965]	CHR_ALT_CTG13_1_7	9505753	9513687	1
ENSDARG00000070053	foxg1d	forkhead box G1d [Source:ZFIN;Acc:ZDB-GENE-080305-12]	13	255067	257821	1
ENSDARG00000116243	gpr26	G protein-coupled receptor 26 [Source:ZFIN;Acc:ZDB-GENE-131121-131]	CHR_ALT_CTG17_1_13	21619188	21630677	-1
ENSDARG00000035388	tmem174	transmembrane protein 174 [Source:ZFIN;Acc:ZDB-GENE-080819-2]	5	35105085	35108893	-1
ENSDARG00000114045	CU571061.1		7	22281666	22324843	-1
ENSDARG00000027824	top1mt	DNA topoisomerase I mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040624-2]	24	42074143	42075487	1
ENSDARG00000110326	CABZ01040626.1		7	1912805	1918971	-1
ENSDARG00000116102	uts2a	urotensin 2, alpha [Source:ZFIN;Acc:ZDB-GENE-040630-11]	CHR_ALT_CTG23_1_31	30048883	30055403	1
ENSDARG00000114191	LO018333.1		18	34861568	34935178	1
ENSDARG00000101645	myrfl	myelin regulatory factor like [Source:ZFIN;Acc:ZDB-GENE-180312-1]	4	72797711	72850636	1
ENSDARG00000116332	dlc	deltaC [Source:ZFIN;Acc:ZDB-GENE-000125-4]	CHR_ALT_CTG15_1_15	20501900	20505118	-1
ENSDARG00000113325	lmod2a	leiomodin 2 (cardiac) a [Source:ZFIN;Acc:ZDB-GENE-040912-41]	CHR_ALT_CTG25_1_22	27789853	27793904	-1
ENSDARG00000102618	utp18	UTP18 small subunit (SSU) processome component [Source:ZFIN;Acc:ZDB-GENE-060929-668]	19	48102560	48104715	1
ENSDARG00000115568	c3b.2	complement component c3b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3063]	CHR_ALT_CTG22_1_15	26129584	26176301	-1
ENSDARG00000098465	si:ch73-366l1.5	si:ch73-366l1.5 [Source:ZFIN;Acc:ZDB-GENE-131127-426]	3	60525982	60571218	-1
ENSDARG00000110229	zgc:173702	zgc:173702 [Source:ZFIN;Acc:ZDB-GENE-080208-3]	4	46661522	46678576	1
ENSDARG00000098355	atp5pd	ATP synthase peripheral stalk subunit d [Source:ZFIN;Acc:ZDB-GENE-040426-1658]	3	48549294	48559906	-1
ENSDARG00000098256	si:ch73-329n5.6	si:ch73-329n5.6 [Source:ZFIN;Acc:ZDB-GENE-131121-171]	12	43730276	43819253	-1
ENSDARG00000114321	fgf11a	fibroblast growth factor 11a [Source:ZFIN;Acc:ZDB-GENE-050221-5]	CHR_ALT_CTG7_1_17	22401189	22516789	1
ENSDARG00000114130	CR855334.2	si:ch211-212k18.7 [Source:NCBI gene;Acc:100000085]	CHR_ALT_CTG7_1_13	19466909	19474919	1
ENSDARG00000039960	st7	suppression of tumorigenicity 7 [Source:ZFIN;Acc:ZDB-GENE-060421-2807]	18	50948003	50956280	-1
ENSDARG00000111991	p2ry10	P2Y receptor family member 10 [Source:ZFIN;Acc:ZDB-GENE-070410-105]	CHR_ALT_CTG14_1_5	10506907	10510860	1
ENSDARG00000109782	dpysl2b	dihydropyrimidinase-like 2b [Source:ZFIN;Acc:ZDB-GENE-031105-1]	CHR_ALT_CTG10_1_14	18965742	18992259	1
ENSDARG00000106072	RF00001		5	50575790	50575906	-1
ENSDARG00000113264	fbxl18	F-box and leucine-rich repeat protein 18 [Source:ZFIN;Acc:ZDB-GENE-050913-65]	CHR_ALT_CTG1_1_1	8595474	8603791	-1
ENSDARG00000110306	sema3ab	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ab [Source:ZFIN;Acc:ZDB-GENE-991209-6]	CHR_ALT_CTG18_1_6	9385412	9448110	1
ENSDARG00000114570	RF00003		4	42627981	42628144	1
ENSDARG00000105854	RF00001		3	41500409	41500525	1
ENSDARG00000106121	RF00001		5	46652479	46652595	-1
ENSDARG00000109980	mrm3a	mitochondrial rRNA methyltransferase 3a [Source:ZFIN;Acc:ZDB-GENE-050417-184]	CHR_ALT_CTG15_1_11	16180114	16187139	1
ENSDARG00000112624	zgc:171717	zgc:171717 [Source:ZFIN;Acc:ZDB-GENE-071004-25]	CHR_ALT_CTG22_1_12	25289418	25290416	1
ENSDARG00000106217	RF00001		5	32170170	32170286	-1
ENSDARG00000083266	RF00581		11	7150274	7150366	1
ENSDARG00000082252	RF00001		8	18670237	18670362	1
ENSDARG00000114469	slc6a15	solute carrier family 6 (neutral amino acid transporter), member 15 [Source:ZFIN;Acc:ZDB-GENE-050420-93]	CHR_ALT_CTG18_1_16	16151290	16179578	-1
ENSDARG00000108730	RF00001		18	26747811	26747927	1
ENSDARG00000110595	ghrhrb	growth hormone releasing hormone receptor b [Source:ZFIN;Acc:ZDB-GENE-110127-2]	CHR_ALT_CTG6_1_30	32954257	32965640	1
ENSDARG00000111972	RF00003		4	67582756	67582919	1
ENSDARG00000101834	RF00003		4	69485075	69485239	-1
ENSDARG00000106077	RF00001		20	8934408	8934523	1
ENSDARG00000077645	gpr78b	G protein-coupled receptor 78b [Source:ZFIN;Acc:ZDB-GENE-140106-142]	7	59739164	59742844	1
ENSDARG00000114110	rab8b	RAB8B, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-070620-16]	CHR_ALT_CTG7_1_24	29301641	29308455	1
ENSDARG00000108294	RF00001		2	13123566	13123682	1
ENSDARG00000102167	ppox	protoporphyrinogen oxidase [Source:ZFIN;Acc:ZDB-GENE-051120-90]	16	42289076	42306597	-1
ENSDARG00000114308	RF00001		5	13532874	13532988	-1
ENSDARG00000083529	RF00001		18	7998576	7998697	1
ENSDARG00000113622	RF00026		4	64698271	64698377	1
ENSDARG00000115264	BX649300.2		23	17417539	17447163	1
ENSDARG00000116291	RF00015		17	23330171	23330311	1
ENSDARG00000109989	CR753885.1	ankyrin repeat domain 33ba [Source:NCBI gene;Acc:568270]	CHR_ALT_CTG24_1_9	22027943	22052355	1
ENSDARG00000106791	RF00001		20	14998956	14999072	1
ENSDARG00000082242	RF00045		20	30373207	30373427	-1
ENSDARG00000111903	RF00020		5	43283405	43283520	-1
ENSDARG00000098779	BX547930.4		20	12830448	12834749	1
ENSDARG00000109348	pmvk	phosphomevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-070410-91]	CHR_ALT_CTG16_1_3	6940086	6945782	-1
ENSDARG00000110413	vcam1b	vascular cell adhesion molecule 1b [Source:ZFIN;Acc:ZDB-GENE-070209-238]	CHR_ALT_CTG22_2_1	16164735	16172660	-1
ENSDARG00000111594	RF00001		12	16598743	16598857	-1
ENSDARG00000113703	RF00001		21	17121361	17121477	-1
ENSDARG00000113733	RF00017		11	11367594	11367890	-1
ENSDARG00000111925	il13ra2	interleukin 13 receptor, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030521-10]	CHR_ALT_CTG5_1_34	37107365	37121582	-1
ENSDARG00000102723	RF00026		KN150665.1	9536	9642	1
ENSDARG00000114989	rilpl2	Rab interacting lysosomal protein-like 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6682]	CHR_ALT_CTG5_1_61	69794153	69801129	-1
ENSDARG00000116142	ptch1	patched 1 [Source:ZFIN;Acc:ZDB-GENE-980526-196]	CHR_ALT_CTG8_1_15	29963037	30067931	1
ENSDARG00000103968	RF00026		4	57806997	57807066	1
ENSDARG00000109708	RF00017		11	12326206	12326502	1
ENSDARG00000068589	vimr1	vimentin-related 1 [Source:ZFIN;Acc:ZDB-GENE-130530-722]	21	547098	551014	-1
ENSDARG00000112225	RF00017		11	12187306	12187602	1
ENSDARG00000081190	dre-mir-132-1	dre-mir-132-1 [Source:miRBase;Acc:MI0001989]	15	25897715	25897799	1
ENSDARG00000081224	dre-mir-26a-3	dre-mir-26a-3 [Source:miRBase;Acc:MI0001926]	24	20470954	20471090	-1
ENSDARG00000088160	CABZ01056629.1		15	433035	434503	-1
ENSDARG00000116268	BX537277.2		6	22537132	22537229	1
ENSDARG00000114439	CR774183.1		CHR_ALT_CTG23_1_28	26774298	26780687	-1
ENSDARG00000116554	phf20b	PHD finger protein 20, b [Source:ZFIN;Acc:ZDB-GENE-040822-33]	CHR_ALT_CTG23_1_11	14994247	15032828	-1
ENSDARG00000111701	lbh	limb bud and heart development [Source:ZFIN;Acc:ZDB-GENE-040426-1613]	13	51844058	51846224	-1
ENSDARG00000077715	GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	16	3463727	3678976	-1
ENSDARG00000099092	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	7	72222542	72261721	-1
ENSDARG00000076299	FQ323119.1		23	4086493	4091009	-1
ENSDARG00000111789	BX571665.1		17	35431724	35437222	1
ENSDARG00000112566	tacr2	tachykinin receptor 2 [Source:ZFIN;Acc:ZDB-GENE-090312-188]	CHR_ALT_CTG13_2_5	22965068	22970189	1
ENSDARG00000109942	apoob	apolipoprotein O, b [Source:ZFIN;Acc:ZDB-GENE-041001-40]	CHR_ALT_CTG24_1_9	21975827	21984393	-1
ENSDARG00000103973	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	KN150654.1	8142	14617	-1
ENSDARG00000099481	ttc8	tetratricopeptide repeat domain 8 [Source:ZFIN;Acc:ZDB-GENE-030131-8846]	KN149874.1	11	3574	-1
ENSDARG00000057736	ano10a	anoctamin 10a [Source:ZFIN;Acc:ZDB-GENE-050913-43]	16	7985886	8041348	1
ENSDARG00000115522	hnf1ba	HNF1 homeobox Ba [Source:ZFIN;Acc:ZDB-GENE-020104-1]	CHR_ALT_CTG15_1_11	15999501	16012828	-1
ENSDARG00000109290	lyz	lysozyme [Source:ZFIN;Acc:ZDB-GENE-020515-2]	CHR_ALT_CTG24_1_13	24035964	24038754	-1
ENSDARG00000098989	CU459012.1	group 3 secretory phospholipase A2-like [Source:NCBI gene;Acc:101885160]	7	72441515	72455097	1
ENSDARG00000110232	BX004889.1	WNK lysine deficient protein kinase 1a [Source:NCBI gene;Acc:100318736]	CHR_ALT_CTG25_2_2	21115423	21151389	-1
ENSDARG00000104687	slc16a9b	solute carrier family 16, member 9b [Source:ZFIN;Acc:ZDB-GENE-040801-69]	12	7589193	7607114	-1
ENSDARG00000114422	CT009714.1		12	18556929	18592444	1
ENSDARG00000110317	si:ch211-251p5.5	si:ch211-251p5.5 [Source:ZFIN;Acc:ZDB-GENE-030131-2635]	CHR_ALT_CTG16_1_13	31434534	31448033	-1
ENSDARG00000111671	cbln9	cerebellin 9 [Source:ZFIN;Acc:ZDB-GENE-040724-34]	CHR_ALT_CTG2_1_3	37963445	37967283	-1
ENSDARG00000115053	AL935292.1		9	19326099	19383526	1
ENSDARG00000109474	ncapg	non-SMC condensin I complex, subunit G [Source:ZFIN;Acc:ZDB-GENE-041111-282]	CHR_ALT_CTG1_3_2	23559030	23571086	1
ENSDARG00000077760	ascc1	activating signal cointegrator 1 complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-050417-80]	12	48307111	48312647	-1
ENSDARG00000056797	ppp2r2ca	protein phosphatase 2, regulatory subunit B, gamma a [Source:ZFIN;Acc:ZDB-GENE-051120-168]	1	14283692	14306838	1
ENSDARG00000111643	CR925720.1		23	24046032	24047054	-1
ENSDARG00000110507	prps1b	phosphoribosyl pyrophosphate synthetase 1B [Source:ZFIN;Acc:ZDB-GENE-030131-4011]	CHR_ALT_CTG14_1_6	12064083	12092204	-1
ENSDARG00000115860	atxn2	ataxin 2 [Source:ZFIN;Acc:ZDB-GENE-060526-217]	CHR_ALT_CTG5_2_9	41619846	41679533	-1
ENSDARG00000110013	CR925820.1		CHR_ALT_CTG10_1_35	40356973	40358028	-1
ENSDARG00000100152		chromosome 12 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:35164]	25	5821910	5841136	1
ENSDARG00000088984	cep131	centrosomal protein 131 [Source:ZFIN;Acc:ZDB-GENE-090508-16]	12	35836610	35885349	-1
ENSDARG00000111140	abhd6b	abhydrolase domain containing 6b [Source:ZFIN;Acc:ZDB-GENE-070410-104]	CHR_ALT_CTG23_2_4	19660321	19663755	1
ENSDARG00000068876	zgc:153031	zgc:153031 [Source:ZFIN;Acc:ZDB-GENE-060929-1190]	18	15132112	15141119	1
ENSDARG00000113927	eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2332]	CHR_ALT_CTG21_1_12	21002912	21009442	-1
ENSDARG00000102281	CR391937.1		16	25831165	25841084	-1
ENSDARG00000112984	BX005142.3		CHR_ALT_CTG3_2_3	32874427	32883149	-1
ENSDARG00000079788	fam171a1	family with sequence similarity 171, member A1 [Source:ZFIN;Acc:ZDB-GENE-061208-1]	16	28547157	28574789	1
ENSDARG00000101079	HECTD4	HECT domain E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:26611]	7	72460911	72570359	1
ENSDARG00000104640	BX511034.7	uncharacterized LOC100006875 [Source:NCBI gene;Acc:100006875]	22	7624599	7642967	-1
ENSDARG00000114368	sumf1	sulfatase modifying factor 1 [Source:ZFIN;Acc:ZDB-GENE-060421-3113]	CHR_ALT_CTG6_3_6	39903680	39909518	-1
ENSDARG00000062780	aifm3	apoptosis-inducing factor, mitochondrion-associated, 3 [Source:ZFIN;Acc:ZDB-GENE-140619-2]	5	12637823	12701603	-1
ENSDARG00000114100	CT583728.17		4	55794876	55795326	1
ENSDARG00000114731	CR925820.17		CHR_ALT_CTG10_1_35	40338800	40339858	-1
ENSDARG00000113893	si:dkey-30g5.1	si:dkey-30g5.1 [Source:ZFIN;Acc:ZDB-GENE-091116-100]	3	3099492	3100238	1
ENSDARG00000045982	si:ch73-55i23.1	si:ch73-55i23.1 [Source:ZFIN;Acc:ZDB-GENE-140106-38]	5	1933131	1947624	1
ENSDARG00000087697	lpl	lipoprotein lipase [Source:ZFIN;Acc:ZDB-GENE-990415-139]	22	15624371	15630421	1
ENSDARG00000113951	ndufb4	NADH:ubiquinone oxidoreductase subunit B4 [Source:ZFIN;Acc:ZDB-GENE-040426-1973]	CHR_ALT_CTG24_2_3	23971160	23974474	-1
ENSDARG00000099963	si:dkey-27n6.1	si:dkey-27n6.1 [Source:ZFIN;Acc:ZDB-GENE-041014-40]	4	62057454	62061713	1
ENSDARG00000040582	c18h3orf33	c18h3orf33 homolog (H. sapiens) [Source:ZFIN;Acc:ZDB-GENE-061121-2]	18	34146007	34156765	-1
ENSDARG00000114798	CABZ01032906.1	extracellular calcium-sensing receptor-like [Source:NCBI gene;Acc:793043]	18	33080843	33085006	-1
ENSDARG00000058848	mcoln1b	mucolipin 1b [Source:ZFIN;Acc:ZDB-GENE-130514-1]	3	5991765	6035766	-1
ENSDARG00000098895	RF00001		13	44088148	44088251	-1
ENSDARG00000116887	RF00003		4	57779867	57780030	-1
ENSDARG00000082581	RF00001		1	5078371	5078488	-1
ENSDARG00000080087	RF00001		17	36635072	36635189	-1
ENSDARG00000108746	RF00001		5	23673259	23673375	1
ENSDARG00000084145	RF00001		7	6697973	6698091	1
ENSDARG00000004782	fgfr3	fibroblast growth factor receptor 3 [Source:ZFIN;Acc:ZDB-GENE-000816-1]	13	13213567	13294872	-1
ENSDARG00000107069	RF00001		22	14693112	14693228	-1
ENSDARG00000080287	RF00001		20	47759786	47759908	1
ENSDARG00000109913	RF00001		6	47156302	47156416	-1
ENSDARG00000083427	RF00001		5	20674933	20675050	1
ENSDARG00000114066	RF00001		13	44384277	44384393	1
ENSDARG00000114699	add3b	adducin 3 (gamma) b [Source:ZFIN;Acc:ZDB-GENE-080718-6]	CHR_ALT_CTG17_1_9	20267190	20291957	-1
ENSDARG00000112393	RF00001		8	33783438	33783554	-1
ENSDARG00000100760	RF00001		18	39586546	39586665	-1
ENSDARG00000114573	RF00001		5	56066682	56066796	-1
ENSDARG00000116980	BX571768.1		11	4038040	4137242	-1
ENSDARG00000109808	RF00001		4	28115607	28115721	1
ENSDARG00000080938	RF00575		6	9673032	9673122	-1
ENSDARG00000082473	RF00026		11	19180452	19180555	-1
ENSDARG00000116358	RF00001		18	5631378	5631492	-1
ENSDARG00000115231	RF00003		KN147636.1	56677	56825	-1
ENSDARG00000113126	CR381654.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31 [Source:NCBI gene;Acc:325248]	CHR_ALT_CTG5_2_6	29715040	29744127	1
ENSDARG00000109569	BX649337.2		22	25639255	25649291	1
ENSDARG00000110947	RF00001		1	30244531	30244645	-1
ENSDARG00000108302	RF00001		13	13863530	13863645	1
ENSDARG00000110692	RF00026		4	40917678	40917784	-1
ENSDARG00000107018	RF00001		5	7148291	7148407	-1
ENSDARG00000116380	AL929124.1	seizure related 6 homolog (mouse)-like 2 [Source:NCBI gene;Acc:557847]	CHR_ALT_CTG3_1_8	15240115	15269275	-1
ENSDARG00000107282	RF00001		20	25237009	25237124	1
ENSDARG00000082639	RF01299		2	7720559	7720629	1
ENSDARG00000116387	hapln3	hyaluronan and proteoglycan link protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2089]	CHR_ALT_CTG25_1_12	19212058	19215380	1
ENSDARG00000110849	RF00017		11	11447189	11447485	-1
ENSDARG00000080681	dre-mir-730	dre-mir-730 [Source:miRBase;Acc:MI0004775]	7	23362162	23362245	1
ENSDARG00000086512	prodhb	proline dehydrogenase (oxidase) 1b [Source:ZFIN;Acc:ZDB-GENE-101116-1]	5	11242291	11271209	-1
ENSDARG00000083270	CR354430.2		25	2189964	2190062	1
ENSDARG00000113671	AL935186.8		4	77562651	77563411	-1
ENSDARG00000112395	BX664705.3		6	16871306	16871403	-1
ENSDARG00000082019	dre-mir-9-1	dre-mir-9-1 [Source:miRBase;Acc:MI0001880]	16	29216274	29216360	1
ENSDARG00000082428	dre-mir-19c	dre-mir-19c [Source:miRBase;Acc:MI0001905]	14	31467026	31467130	-1
ENSDARG00000111710	CU138548.3		1	14730296	14730390	1
ENSDARG00000035682	FP102018.1	latent transforming growth factor beta binding protein 3 [Source:NCBI gene;Acc:562912]	5	37517800	37585469	1
ENSDARG00000112347	rpf1	ribosome production factor 1 homolog [Source:ZFIN;Acc:ZDB-GENE-040625-177]	CHR_ALT_CTG11_2_5	16098722	16115751	-1
ENSDARG00000102442	FOLR2	folate receptor beta [Source:HGNC Symbol;Acc:HGNC:3793]	15	47341856	47350232	1
ENSDARG00000077677	pdgfd	platelet derived growth factor d [Source:ZFIN;Acc:ZDB-GENE-071217-1]	15	44929497	44995151	1
ENSDARG00000116985	gpat3	glycerol-3-phosphate acyltransferase 3 [Source:ZFIN;Acc:ZDB-GENE-040718-436]	CHR_ALT_CTG21_1_10	19302658	19314618	-1
ENSDARG00000103011	WHAMM	WAS protein homolog associated with actin, golgi membranes and microtubules [Source:HGNC Symbol;Acc:HGNC:30493]	18	6587	11729	-1
